"","name","age","mw","league","year","points","ranking","logmw"
"1","Chelsea",25.5,13.45,"Premier League",2010,86,1,2.59897910604785
"2","Man United",25,11,"Premier League",2010,85,2,2.39789527279837
"3","Liverpool",24.4,11.22,"Premier League",2010,63,7,2.41769790009455
"4","Man City",24.1,7.87,"Premier League",2010,67,5,2.06305806242931
"5","Arsenal",21.7,6.24,"Premier League",2010,75,3,1.83098018238134
"6","Tottenham",23.3,6.08,"Premier League",2010,70,4,1.80500469597808
"7","Everton",23.1,5.28,"Premier League",2010,61,8,1.66392609771817
"8","Aston Villa",25.5,5.17,"Premier League",2010,64,6,1.64287268852034
"9","Sunderland",24.5,3.47,"Premier League",2010,44,13,1.24415459395877
"10","West Ham",23.8,3.38,"Premier League",2010,35,17,1.21787570949493
"11","Portsmouth",25.4,2.22,"Premier League",2010,28,20,0.797507195884188
"12","Fulham",25.3,2.21,"Premier League",2010,46,12,0.792992515529661
"13","Blackburn",25.3,2.58,"Premier League",2010,50,9,0.947789398933526
"14","Bolton",25.3,2.67,"Premier League",2010,39,14,0.982078472412158
"15","Stoke",25.9,2.08,"Premier League",2010,47,11,0.732367893713227
"16","Hull",26,2.04,"Premier League",2010,30,19,0.712949807856125
"17","Wigan",25.4,2.11,"Premier League",2010,36,16,0.746687947487975
"18","Birmingham",25.5,1.76,"Premier League",2010,50,10,0.56531380905006
"19","Wolves",24.1,1.61,"Premier League",2010,38,15,0.476234178996372
"20","Burnley",25,1.17,"Premier League",2010,30,18,0.157003748809665
"21","Real Madrid",24.5,15.79,"LaLiga",2010,96,2,2.75937682826755
"22","Barcelona",24.1,13.73,"LaLiga",2010,99,1,2.61958321977988
"23","Valencia",24.6,6.29,"LaLiga",2010,71,3,1.83896107071235
"24","Sevilla",24.5,5.94,"LaLiga",2010,63,4,1.78170913337455
"25","Ath Madrid",23.1,5.69,"LaLiga",2010,47,9,1.73871024813824
"26","Villarreal",25.5,5.38,"LaLiga",2010,56,7,1.68268837417369
"27","Zaragoza",25.5,2.36,"LaLiga",2010,41,14,0.858661619037519
"28","Santander",24.4,2.31,"LaLiga",2010,39,16,0.837247524533702
"29","Ath Bilbao",24.2,2.12,"LaLiga",2010,54,8,0.751416088683921
"30","Espanol",23.8,2.17,"LaLiga",2010,44,11,0.774727167552368
"31","Getafe",25.4,2.53,"LaLiga",2010,58,6,0.928219302739429
"32","Almeria",25.4,2.58,"LaLiga",2010,42,13,0.947789398933526
"33","La Coruna",25,2.02,"LaLiga",2010,47,10,0.703097511413113
"34","Malaga",24.4,1.64,"LaLiga",2010,37,17,0.494696241836107
"35","Osasuna",26.4,2.03,"LaLiga",2010,43,12,0.708035793053696
"36","Mallorca",25.7,1.89,"LaLiga",2010,62,5,0.636576829071551
"37","Valladolid",24.5,1.56,"LaLiga",2010,36,19,0.444685821261446
"38","Sp Gijon",24.4,1.22,"LaLiga",2010,40,15,0.198850858745165
"39","Xerez",26.5,1.25,"LaLiga",2010,34,20,0.22314355131421
"40","Tenerife",26,0.9,"LaLiga",2010,36,18,-0.105360515657826
"41","Inter",23.9,7.93,"Serie A",2010,82,1,2.07065303564676
"42","Milan",25.9,7.11,"Serie A",2010,70,3,1.96150224381515
"43","Juventus",24.6,6.59,"Serie A",2010,55,7,1.88555334851442
"44","Roma",24.3,6.14,"Serie A",2010,80,2,1.81482474215905
"45","Fiorentina",23,4.39,"Serie A",2010,47,11,1.47932922708708
"46","Lazio",23.8,2.29,"Serie A",2010,46,12,0.828551817566148
"47","Napoli",25.7,3.84,"Serie A",2010,59,6,1.34547236659964
"48","Genoa",23.2,2.7,"Serie A",2010,51,9,0.993251773010283
"49","Udinese",22.5,2.42,"Serie A",2010,44,14,0.883767540168595
"50","Sampdoria",24.1,2.55,"Serie A",2010,67,4,0.936093359170335
"51","Palermo",23.3,2.23,"Serie A",2010,65,5,0.802001585472027
"52","Parma",23.7,1.54,"Serie A",2010,52,8,0.431782416425538
"53","Atalanta",25.1,1.77,"Serie A",2010,35,18,0.570979546585738
"54","Bologna",26.5,1.71,"Serie A",2010,42,17,0.536493370514568
"55","Catania",24.6,1.45,"Serie A",2010,45,13,0.371563556432483
"56","Livorno",24.7,1.26,"Serie A",2010,29,20,0.231111720963387
"57","Siena",24.3,1.11,"Serie A",2010,31,19,0.104360015324243
"58","Cagliari",23.3,1.27,"Serie A",2010,44,15,0.2390169004705
"59","Bari",25.5,0.996,"Serie A",2010,50,10,-0.00400802139753882
"60","Chievo",25.7,0.982,"Serie A",2010,44,16,-0.0181639706276712
"61","Bayern Munich",25.1,9.77,"1. Bundesliga",2010,70,1,2.27931646605469
"62","Wolfsburg",24.9,5.03,"1. Bundesliga",2010,50,8,1.61541998411165
"63","Hamburg",24,4.17,"1. Bundesliga",2010,52,7,1.42791603581071
"64","Werder Bremen",23.4,3.53,"1. Bundesliga",2010,61,3,1.26129787094521
"65","Stuttgart",24.2,3.68,"1. Bundesliga",2010,55,6,1.30291275218084
"66","Schalke 04",23.3,2.84,"1. Bundesliga",2010,65,2,1.04380405217311
"67","Leverkusen",23.6,3.64,"1. Bundesliga",2010,59,4,1.29198368164865
"68","Hoffenheim",22.3,2.75,"1. Bundesliga",2010,42,11,1.01160091167848
"69","Dortmund",23,2.37,"1. Bundesliga",2010,57,5,0.86288995514704
"70","Hertha",24.2,2.31,"1. Bundesliga",2010,24,18,0.837247524533702
"71","FC Koln",23.8,2.19,"1. Bundesliga",2010,38,13,0.783901543828409
"72","Hannover",25.1,1.71,"1. Bundesliga",2010,33,15,0.536493370514568
"73","Ein Frankfurt",24.6,1.72,"1. Bundesliga",2010,46,10,0.542324290825362
"74","M'gladbach",24.5,1.53,"1. Bundesliga",2010,39,12,0.425267735404344
"75","Bochum",25.6,1.39,"1. Bundesliga",2010,28,17,0.3293037471426
"76","Nurnberg",23.9,1.31,"1. Bundesliga",2010,31,16,0.27002713721306
"77","Mainz",25,0.987,"1. Bundesliga",2010,47,9,-0.0130852395486555
"78","Freiburg",23.8,0.987,"1. Bundesliga",2010,35,14,-0.0130852395486555
"79","Lyon",22.6,4.75,"Ligue 1",2010,72,2,1.55814461804655
"80","Marseille",25.1,4.97,"Ligue 1",2010,78,1,1.60341984010854
"81","Bordeaux",24.6,4.24,"Ligue 1",2010,64,6,1.44456326924387
"82","Paris SG",25.7,3.41,"Ligue 1",2010,47,13,1.22671229129543
"83","Lille",23.6,2.57,"Ligue 1",2010,70,4,0.943905898907128
"84","St Etienne",23.6,2.53,"Ligue 1",2010,40,17,0.928219302739429
"85","Rennes",24.6,2.52,"Ligue 1",2010,53,9,0.924258901523332
"86","Monaco",23.8,2.05,"Ligue 1",2010,55,8,0.717839793150317
"87","Toulouse",22.8,1.97,"Ligue 1",2010,47,14,0.678033542749897
"88","Nice",24.2,1.83,"Ligue 1",2010,44,15,0.60431596685333
"89","Nancy",24.8,1.75,"Ligue 1",2010,48,12,0.559615787935423
"90","Auxerre",23.5,1.58,"Ligue 1",2010,71,3,0.457424847038875
"91","Le Mans",23,1.33,"Ligue 1",2010,32,18,0.285178942233662
"92","Valenciennes",25.4,1.51,"Ligue 1",2010,52,10,0.412109650826833
"93","Lorient",25.5,1.42,"Ligue 1",2010,58,7,0.350656871613169
"94","Lens",24.2,1.29,"Ligue 1",2010,48,11,0.254642218373581
"95","Sochaux",22.4,1.3,"Ligue 1",2010,41,16,0.262364264467491
"96","Grenoble",25.2,1.06,"Ligue 1",2010,23,20,0.0582689081239758
"97","Montpellier",24.2,0.956,"Ligue 1",2010,69,5,-0.0449973659307358
"98","Boulogne",24.7,0.88,"Ligue 1",2010,31,19,-0.127833371509885
"99","Chelsea",24.5,13.52,"Premier League",2011,71,2,2.60417007061482
"100","Man United",24.1,8.93,"Premier League",2011,80,1,2.18941639488841
"101","Man City",23.4,8.5,"Premier League",2011,71,3,2.14006616349627
"102","Liverpool",23.5,8.7,"Premier League",2011,58,6,2.16332302566054
"103","Arsenal",23.4,8.95,"Premier League",2011,68,4,2.19165353228676
"104","Tottenham",24.7,7.79,"Premier League",2011,62,5,2.05284085988266
"105","Aston Villa",25.1,5.33,"Premier League",2011,48,9,1.67335123817775
"106","Everton",23.9,5.58,"Premier League",2011,54,7,1.71918877639322
"107","West Ham",25.1,4.08,"Premier League",2011,33,20,1.40609698841607
"108","Sunderland",23.7,3.52,"Premier League",2011,47,10,1.25846098961001
"109","Fulham",27.5,3.29,"Premier League",2011,49,8,1.19088756477728
"110","Birmingham",25.8,3.03,"Premier League",2011,39,18,1.10856261952128
"111","Stoke",27,2.92,"Premier League",2011,46,13,1.07158361628019
"112","Newcastle",23.7,2.52,"Premier League",2011,46,14,0.924258901523332
"113","Blackburn",25.1,2.57,"Premier League",2011,43,15,0.943905898907128
"114","Bolton",25.4,2.75,"Premier League",2011,46,12,1.01160091167848
"115","West Brom",24.3,2.3,"Premier League",2011,47,11,0.832909122935104
"116","Wolves",23.7,1.83,"Premier League",2011,40,17,0.60431596685333
"117","Wigan",24,2.06,"Premier League",2011,42,16,0.72270598280149
